Time,CURRENT,mA
100021,CURRENT,81,3
100024,CURRENT,94,3
100026,CURRENT,72,3
100029,CURRENT,69,3
100032,CURRENT,68,3
100034,CURRENT,9,3
100037,CURRENT,9,3
100039,CURRENT,9,3
100042,CURRENT,9,3
100044,CURRENT,9,3
100047,CURRENT,9,3
100049,CURRENT,9,3
100052,CURRENT,9,3
100055,CURRENT,9,3
100058,CURRENT,9,3
100060,CURRENT,9,3
100063,CURRENT,9,3
100065,CURRENT,9,3
100068,CURRENT,9,3
100070,CURRENT,9,3
100073,CURRENT,9,3
100075,CURRENT,9,3
100077,CURRENT,9,3
100080,CURRENT,9,3
100082,CURRENT,9,3
100085,CURRENT,9,3
100087,CURRENT,9,3
100090,CURRENT,9,3
100092,CURRENT,9,3
100096,CURRENT,9,3
100098,CURRENT,9,3
100101,CURRENT,9,3
100103,CURRENT,9,3
100106,CURRENT,9,3
100108,CURRENT,8,3
100111,CURRENT,9,3
100113,CURRENT,9,3
100116,CURRENT,9,3
100118,CURRENT,9,3
100121,CURRENT,9,3
100123,CURRENT,9,3
100126,CURRENT,9,3
100128,CURRENT,9,3
100131,CURRENT,9,3
100133,CURRENT,9,3
100136,CURRENT,9,3
100139,CURRENT,9,3
100142,CURRENT,9,3
100144,CURRENT,9,3
100147,CURRENT,9,3
100149,CURRENT,9,3
100152,CURRENT,9,3
100154,CURRENT,9,3
100157,CURRENT,9,3
100159,CURRENT,9,3
100162,CURRENT,9,3
100164,CURRENT,9,3
100167,CURRENT,9,3
100169,CURRENT,9,3
100172,CURRENT,9,3
100174,CURRENT,9,3
100177,CURRENT,9,3
100179,CURRENT,9,3
100183,CURRENT,9,3
100185,CURRENT,9,3
100188,CURRENT,9,3
100190,CURRENT,9,3
100193,CURRENT,9,3
100195,CURRENT,9,3
100198,CURRENT,9,3
100200,CURRENT,9,3
100203,CURRENT,9,3
109624,CURRENT,34,4
109626,CURRENT,24,4
109628,CURRENT,160,4
109629,CURRENT,28,4
109631,CURRENT,7,4
109633,CURRENT,5,4
109635,CURRENT,4,4
109638,CURRENT,4,4
109640,CURRENT,5,4
109643,CURRENT,4,4
109645,CURRENT,4,4
109648,CURRENT,4,4
